"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","DirTotal []"
10,5,90,0.6,0,0.389581501150344
10,5,90,0.6,2,0.647696054819979
10,5,90,0.6,4,0.889477925032522
10,5,90,0.6,6,0.913385925505577
10,5,90,0.6,8,0.68656466735723
10,5,90,0.6,10,0.380021911624386
10,5,90,0.6,12,0.215767711902119
10,5,90,0.6,14,0.271115283308368
10,5,90,0.6,16,0.429414936631376
10,5,90,0.6,18,0.516313956442036
10,5,90,0.6,20,0.471909206025524
10,5,90,0.6,22,0.382915810197468
10,5,90,0.6,24,0.359407691241453
10,5,90,0.6,26,0.406573329822346
10,5,90,0.6,28,0.432009124981064
10,5,90,0.6,30,0.366172818168615
10,5,90,0.6,32,0.249442995174495
10,5,90,0.6,34,0.18800854846998
10,5,90,0.6,36,0.234183793648682
10,5,90,0.6,38,0.328145617472211
10,5,90,0.6,40,0.364697347336839
10,5,90,0.6,42,0.30902334233575
10,5,90,0.6,44,0.231851626066063
10,5,90,0.6,46,0.223611321033883
10,5,90,0.6,48,0.28429754445193
10,5,90,0.6,50,0.319629869672757
10,5,90,0.6,52,0.257365732245995
10,5,90,0.6,54,0.152157820136174
10,5,90,0.6,56,0.143545696397516
10,5,90,0.6,58,0.292428313323266
10,5,90,0.6,60,0.476480171746179
10,5,90,0.6,62,0.489693917533971
10,5,90,0.6,64,0.277760468480169
10,5,90,0.6,66,0.0636606086888817
10,5,90,0.6,68,0.180258532174223
10,5,90,0.6,70,0.708402378492972
10,5,90,0.6,72,1.27016835010473
10,5,90,0.6,74,1.28079388095264
10,5,90,0.6,76,0.589282794487931
10,5,90,0.6,78,0.0163956963462259
10,5,90,0.6,80,1.21992598125916
10,5,90,0.6,82,5.7410033637925
10,5,90,0.6,84,13.749496781986
10,5,90,0.6,86,23.386709164243
10,5,90,0.6,88,31.3313371328382
10,5,90,0.6,90,34.4131161794029
10,5,90,0.6,92,31.3313371328382
10,5,90,0.6,94,23.3867091642428
10,5,90,0.6,96,13.749496781986
10,5,90,0.6,98,5.74100336379257
10,5,90,0.6,100,1.2199259812592
10,5,90,0.6,102,0.0163956963462301
10,5,90,0.6,104,0.589282794487945
10,5,90,0.6,106,1.28079388095265
10,5,90,0.6,108,1.27016835010473
10,5,90,0.6,110,0.708402378492982
10,5,90,0.6,112,0.180258532174232
10,5,90,0.6,114,0.0636606086888841
10,5,90,0.6,116,0.277760468480157
10,5,90,0.6,118,0.489693917533968
10,5,90,0.6,120,0.476480171746184
10,5,90,0.6,122,0.29242831332326
10,5,90,0.6,124,0.143545696397515
10,5,90,0.6,126,0.152157820136168
10,5,90,0.6,128,0.257365732245998
10,5,90,0.6,130,0.319629869672755
10,5,90,0.6,132,0.284297544451928
10,5,90,0.6,134,0.223611321033877
10,5,90,0.6,136,0.231851626066058
10,5,90,0.6,138,0.309023342335748
10,5,90,0.6,140,0.364697347336835
10,5,90,0.6,142,0.328145617472212
10,5,90,0.6,144,0.234183793648685
10,5,90,0.6,146,0.188008548469983
10,5,90,0.6,148,0.249442995174494
10,5,90,0.6,150,0.366172818168615
10,5,90,0.6,152,0.43200912498106
10,5,90,0.6,154,0.406573329822343
10,5,90,0.6,156,0.359407691241452
10,5,90,0.6,158,0.382915810197468
10,5,90,0.6,160,0.471909206025525
10,5,90,0.6,162,0.516313956442039
10,5,90,0.6,164,0.429414936631376
10,5,90,0.6,166,0.271115283308366
10,5,90,0.6,168,0.215767711902119
10,5,90,0.6,170,0.380021911624384
10,5,90,0.6,172,0.686564667357229
10,5,90,0.6,174,0.913385925505573
10,5,90,0.6,176,0.889477925032524
10,5,90,0.6,178,0.647696054819981
10,5,90,0.6,180,0.389581501150343
10,7,90,0.6,0,0.22649486255751
10,7,90,0.6,2,0.562967677610605
10,7,90,0.6,4,1.09074506111818
10,7,90,0.6,6,1.08009122129508
10,7,90,0.6,8,0.551651548080523
10,7,90,0.6,10,0.236838240158003
10,7,90,0.6,12,0.443696034902428
10,7,90,0.6,14,0.691275373807285
10,7,90,0.6,16,0.594023747872891
10,7,90,0.6,18,0.389984495451691
10,7,90,0.6,20,0.35982218788592
10,7,90,0.6,22,0.383699916772396
10,7,90,0.6,24,0.339032610997771
10,7,90,0.6,26,0.35499152990727
10,7,90,0.6,28,0.445939335532745
10,7,90,0.6,30,0.405995162304878
10,7,90,0.6,32,0.231271327446919
10,7,90,0.6,34,0.186239632003619
10,7,90,0.6,36,0.329548933460945
10,7,90,0.6,38,0.393763696098807
10,7,90,0.6,40,0.258853869099458
10,7,90,0.6,42,0.156923515093509
10,7,90,0.6,44,0.242530182485726
10,7,90,0.6,46,0.326569869662084
10,7,90,0.6,48,0.255577160571884
10,7,90,0.6,50,0.190896181398764
10,7,90,0.6,52,0.248696538762669
10,7,90,0.6,54,0.253172613528446
10,7,90,0.6,56,0.140156571759821
10,7,90,0.6,58,0.161061146717104
10,7,90,0.6,60,0.362686123341814
10,7,90,0.6,62,0.382617640627937
10,7,90,0.6,64,0.139820493608323
10,7,90,0.6,66,0.128199048114716
10,7,90,0.6,68,0.519508450711139
10,7,90,0.6,70,0.652529946627792
10,7,90,0.6,72,0.194036985913959
10,7,90,0.6,74,0.108835329523468
10,7,90,0.6,76,1.1654654680496
10,7,90,0.6,78,1.98360282578556
10,7,90,0.6,80,0.855729058995029
10,7,90,0.6,82,0.248992133832164
10,7,90,0.6,84,6.76986289612271
10,7,90,0.6,86,23.5203248645446
10,7,90,0.6,88,43.1312996219345
10,7,90,0.6,90,51.9785387876088
10,7,90,0.6,92,43.1312996219346
10,7,90,0.6,94,23.5203248645444
10,7,90,0.6,96,6.76986289612259
10,7,90,0.6,98,0.248992133832163
10,7,90,0.6,100,0.855729058995046
10,7,90,0.6,102,1.98360282578557
10,7,90,0.6,104,1.16546546804956
10,7,90,0.6,106,0.108835329523461
10,7,90,0.6,108,0.194036985913941
10,7,90,0.6,110,0.652529946627774
10,7,90,0.6,112,0.51950845071115
10,7,90,0.6,114,0.128199048114718
10,7,90,0.6,116,0.139820493608326
10,7,90,0.6,118,0.382617640627949
10,7,90,0.6,120,0.362686123341829
10,7,90,0.6,122,0.161061146717103
10,7,90,0.6,124,0.140156571759826
10,7,90,0.6,126,0.253172613528449
10,7,90,0.6,128,0.248696538762667
10,7,90,0.6,130,0.190896181398762
10,7,90,0.6,132,0.255577160571885
10,7,90,0.6,134,0.32656986966208
10,7,90,0.6,136,0.242530182485723
10,7,90,0.6,138,0.156923515093511
10,7,90,0.6,140,0.258853869099461
10,7,90,0.6,142,0.393763696098812
10,7,90,0.6,144,0.329548933460945
10,7,90,0.6,146,0.186239632003618
10,7,90,0.6,148,0.231271327446919
10,7,90,0.6,150,0.405995162304877
10,7,90,0.6,152,0.445939335532751
10,7,90,0.6,154,0.354991529907273
10,7,90,0.6,156,0.339032610997772
10,7,90,0.6,158,0.383699916772401
10,7,90,0.6,160,0.359822187885921
10,7,90,0.6,162,0.389984495451687
10,7,90,0.6,164,0.594023747872891
10,7,90,0.6,166,0.691275373807281
10,7,90,0.6,168,0.443696034902424
10,7,90,0.6,170,0.236838240158
10,7,90,0.6,172,0.551651548080526
10,7,90,0.6,174,1.08009122129508
10,7,90,0.6,176,1.09074506111818
10,7,90,0.6,178,0.562967677610608
10,7,90,0.6,180,0.226494862557508
10,10,90,0.6,0,0.885613767282108
10,10,90,0.6,2,1.29490491296927
10,10,90,0.6,4,0.406023920452489
10,10,90,0.6,6,0.430240101609976
10,10,90,0.6,8,0.941535096668938
10,10,90,0.6,10,0.415393338233679
10,10,90,0.6,12,0.327237780480557
10,10,90,0.6,14,0.741007984494425
10,10,90,0.6,16,0.504878255967594
10,10,90,0.6,18,0.332859887098086
10,10,90,0.6,20,0.384188504045977
10,10,90,0.6,22,0.342812308967376
10,10,90,0.6,24,0.447001267492189
10,10,90,0.6,26,0.338926039801317
10,10,90,0.6,28,0.206627327038205
10,10,90,0.6,30,0.361143093316873
10,10,90,0.6,32,0.290135174142931
10,10,90,0.6,34,0.233157866062005
10,10,90,0.6,36,0.29602638227778
10,10,90,0.6,38,0.149252596989095
10,10,90,0.6,40,0.254649250758898
10,10,90,0.6,42,0.366768950767232
10,10,90,0.6,44,0.114895116940243
10,10,90,0.6,46,0.188515968101986
10,10,90,0.6,48,0.337098475747512
10,10,90,0.6,50,0.155151436381088
10,10,90,0.6,52,0.184772575136822
10,10,90,0.6,54,0.236711869390789
10,10,90,0.6,56,0.137477206474117
10,10,90,0.6,58,0.235612154765041
10,10,90,0.6,60,0.196107653463475
10,10,90,0.6,62,0.147773277406079
10,10,90,0.6,64,0.333087253502444
10,10,90,0.6,66,0.130780518166441
10,10,90,0.6,68,0.146725667262679
10,10,90,0.6,70,0.484198418216625
10,10,90,0.6,72,0.0989845637072967
10,10,90,0.6,74,0.44251272538048
10,10,90,0.6,76,1.09045687096627
10,10,90,0.6,78,0.113474720693782
10,10,90,0.6,80,1.23480953854211
10,10,90,0.6,82,2.68523016232068
10,10,90,0.6,84,0.00517421322118024
10,10,90,0.6,86,12.4945069426928
10,10,90,0.6,88,52.3351185709081
10,10,90,0.6,90,77.536736683618
10,10,90,0.6,92,52.3351185709081
10,10,90,0.6,94,12.4945069426925
10,10,90,0.6,96,0.00517421322117993
10,10,90,0.6,98,2.68523016232073
10,10,90,0.6,100,1.23480953854209
10,10,90,0.6,102,0.113474720693789
10,10,90,0.6,104,1.09045687096632
10,10,90,0.6,106,0.442512725380496
10,10,90,0.6,108,0.0989845637072813
10,10,90,0.6,110,0.484198418216627
10,10,90,0.6,112,0.146725667262692
10,10,90,0.6,114,0.130780518166448
10,10,90,0.6,116,0.333087253502474
10,10,90,0.6,118,0.14777327740608
10,10,90,0.6,120,0.196107653463483
10,10,90,0.6,122,0.235612154765042
10,10,90,0.6,124,0.137477206474112
10,10,90,0.6,126,0.236711869390799
10,10,90,0.6,128,0.184772575136826
10,10,90,0.6,130,0.155151436381088
10,10,90,0.6,132,0.337098475747507
10,10,90,0.6,134,0.188515968101999
10,10,90,0.6,136,0.114895116940237
10,10,90,0.6,138,0.366768950767231
10,10,90,0.6,140,0.254649250758904
10,10,90,0.6,142,0.149252596989088
10,10,90,0.6,144,0.296026382277778
10,10,90,0.6,146,0.233157866062006
10,10,90,0.6,148,0.290135174142926
10,10,90,0.6,150,0.361143093316873
10,10,90,0.6,152,0.206627327038207
10,10,90,0.6,154,0.338926039801313
10,10,90,0.6,156,0.447001267492189
10,10,90,0.6,158,0.342812308967372
10,10,90,0.6,160,0.384188504045974
10,10,90,0.6,162,0.33285988709809
10,10,90,0.6,164,0.504878255967597
10,10,90,0.6,166,0.741007984494427
10,10,90,0.6,168,0.327237780480557
10,10,90,0.6,170,0.415393338233681
10,10,90,0.6,172,0.941535096668937
10,10,90,0.6,174,0.430240101609983
10,10,90,0.6,176,0.406023920452478
10,10,90,0.6,178,1.29490491296927
10,10,90,0.6,180,0.885613767282108
