"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","GainTotal []"
10,5,90,0.6,0,0.396410183031529
10,5,90,0.6,2,0.659049033082563
10,5,90,0.6,4,0.905068916320479
10,5,90,0.6,6,0.929395982198754
10,5,90,0.6,8,0.6985989443709
10,5,90,0.6,10,0.386683030632091
10,5,90,0.6,12,0.219549742261518
10,5,90,0.6,14,0.275867459726842
10,5,90,0.6,16,0.436941828921248
10,5,90,0.6,18,0.525364036461104
10,5,90,0.6,20,0.480180948485666
10,5,90,0.6,22,0.389627654182344
10,5,90,0.6,24,0.365707479044242
10,5,90,0.6,26,0.413699848721558
10,5,90,0.6,28,0.439581488852435
10,5,90,0.6,30,0.372591186806313
10,5,90,0.6,32,0.253815294312178
10,5,90,0.6,34,0.191304009277678
10,5,90,0.6,36,0.238288625689819
10,5,90,0.6,38,0.33389743583578
10,5,90,0.6,40,0.371089853553181
10,5,90,0.6,42,0.314439980683414
10,5,90,0.6,44,0.235915579291167
10,5,90,0.6,46,0.22753083613371
10,5,90,0.6,48,0.289280782837048
10,5,90,0.6,50,0.32523242188141
10,5,90,0.6,52,0.261876903098401
10,5,90,0.6,54,0.15482488042106
10,5,90,0.6,56,0.146061801225947
10,5,90,0.6,58,0.297554069856469
10,5,90,0.6,60,0.484832035235436
10,5,90,0.6,62,0.498277394860582
10,5,90,0.6,64,0.282629123364499
10,5,90,0.6,66,0.0647764677422901
10,5,90,0.6,68,0.183418148760105
10,5,90,0.6,70,0.720819432363138
10,5,90,0.6,72,1.29243217827112
10,5,90,0.6,74,1.30324395607831
10,5,90,0.6,76,0.599611890530049
10,5,90,0.6,78,0.0166830842079142
10,5,90,0.6,80,1.24130914863239
10,5,90,0.6,82,5.8416331050261
10,5,90,0.6,84,13.9905013966131
10,5,90,0.6,86,23.796637245168
10,5,90,0.6,88,31.8805206376005
10,5,90,0.6,90,35.0163178772134
10,5,90,0.6,92,31.8805206376005
10,5,90,0.6,94,23.7966372451678
10,5,90,0.6,96,13.990501396613
10,5,90,0.6,98,5.84163310502617
10,5,90,0.6,100,1.24130914863243
10,5,90,0.6,102,0.0166830842079184
10,5,90,0.6,104,0.599611890530063
10,5,90,0.6,106,1.30324395607832
10,5,90,0.6,108,1.29243217827113
10,5,90,0.6,110,0.720819432363148
10,5,90,0.6,112,0.183418148760114
10,5,90,0.6,114,0.0647764677422925
10,5,90,0.6,116,0.282629123364487
10,5,90,0.6,118,0.498277394860579
10,5,90,0.6,120,0.484832035235441
10,5,90,0.6,122,0.297554069856463
10,5,90,0.6,124,0.146061801225946
10,5,90,0.6,126,0.154824880421054
10,5,90,0.6,128,0.261876903098404
10,5,90,0.6,130,0.325232421881408
10,5,90,0.6,132,0.289280782837046
10,5,90,0.6,134,0.227530836133704
10,5,90,0.6,136,0.235915579291162
10,5,90,0.6,138,0.314439980683413
10,5,90,0.6,140,0.371089853553177
10,5,90,0.6,142,0.33389743583578
10,5,90,0.6,144,0.238288625689822
10,5,90,0.6,146,0.19130400927768
10,5,90,0.6,148,0.253815294312177
10,5,90,0.6,150,0.372591186806313
10,5,90,0.6,152,0.43958148885243
10,5,90,0.6,154,0.413699848721555
10,5,90,0.6,156,0.365707479044242
10,5,90,0.6,158,0.389627654182344
10,5,90,0.6,160,0.480180948485667
10,5,90,0.6,162,0.525364036461107
10,5,90,0.6,164,0.436941828921248
10,5,90,0.6,166,0.27586745972684
10,5,90,0.6,168,0.219549742261518
10,5,90,0.6,170,0.386683030632089
10,5,90,0.6,172,0.698598944370899
10,5,90,0.6,174,0.92939598219875
10,5,90,0.6,176,0.905068916320482
10,5,90,0.6,178,0.659049033082565
10,5,90,0.6,180,0.396410183031529
10,7,90,0.6,0,0.230763556206448
10,7,90,0.6,2,0.573577792660628
10,7,90,0.6,4,1.11130206829455
10,7,90,0.6,6,1.1004474381406
10,7,90,0.6,8,0.562048390786484
10,7,90,0.6,10,0.241301872931711
10,7,90,0.6,12,0.45205826627872
10,7,90,0.6,14,0.704303672835876
10,7,90,0.6,16,0.605219169134246
10,7,90,0.6,18,0.397334438492878
10,7,90,0.6,20,0.366603669244183
10,7,90,0.6,22,0.390931415886019
10,7,90,0.6,24,0.345422276251136
10,7,90,0.6,26,0.36168196902819
10,7,90,0.6,28,0.454343845851019
10,7,90,0.6,30,0.413646854494544
10,7,90,0.6,32,0.235630041969213
10,7,90,0.6,34,0.189749645102096
10,7,90,0.6,36,0.33575986214778
10,7,90,0.6,38,0.401184864816455
10,7,90,0.6,40,0.26373242508325
10,7,90,0.6,42,0.159881014458771
10,7,90,0.6,44,0.247101089913659
10,7,90,0.6,46,0.33272465265725
10,7,90,0.6,48,0.260393961226115
10,7,90,0.6,50,0.194493955352408
10,7,90,0.6,52,0.253383662009271
10,7,90,0.6,54,0.257944096268721
10,7,90,0.6,56,0.142798068617509
10,7,90,0.6,58,0.16409662702036
10,7,90,0.6,60,0.369521580595836
10,7,90,0.6,62,0.389828742345998
10,7,90,0.6,64,0.142455656482739
10,7,90,0.6,66,0.13061518442928
10,7,90,0.6,68,0.529299500269968
10,7,90,0.6,70,0.66482802000332
10,7,90,0.6,72,0.197693953847259
10,7,90,0.6,74,0.110886522538052
10,7,90,0.6,76,1.18743071258249
10,7,90,0.6,78,2.02098730633773
10,7,90,0.6,80,0.871856776675235
10,7,90,0.6,82,0.253684828087227
10,7,90,0.6,84,6.89745285742493
10,7,90,0.6,86,23.9636067131329
10,7,90,0.6,88,43.9441847473968
10,7,90,0.6,90,52.9581656802384
10,7,90,0.6,92,43.9441847473969
10,7,90,0.6,94,23.9636067131327
10,7,90,0.6,96,6.89745285742482
10,7,90,0.6,98,0.253684828087226
10,7,90,0.6,100,0.871856776675252
10,7,90,0.6,102,2.02098730633774
10,7,90,0.6,104,1.18743071258246
10,7,90,0.6,106,0.110886522538044
10,7,90,0.6,108,0.197693953847241
10,7,90,0.6,110,0.664828020003302
10,7,90,0.6,112,0.529299500269979
10,7,90,0.6,114,0.130615184429282
10,7,90,0.6,116,0.142455656482741
10,7,90,0.6,118,0.38982874234601
10,7,90,0.6,120,0.369521580595851
10,7,90,0.6,122,0.16409662702036
10,7,90,0.6,124,0.142798068617514
10,7,90,0.6,126,0.257944096268724
10,7,90,0.6,128,0.253383662009269
10,7,90,0.6,130,0.194493955352406
10,7,90,0.6,132,0.260393961226116
10,7,90,0.6,134,0.332724652657246
10,7,90,0.6,136,0.247101089913656
10,7,90,0.6,138,0.159881014458773
10,7,90,0.6,140,0.263732425083253
10,7,90,0.6,142,0.40118486481646
10,7,90,0.6,144,0.335759862147781
10,7,90,0.6,146,0.189749645102094
10,7,90,0.6,148,0.235630041969213
10,7,90,0.6,150,0.413646854494543
10,7,90,0.6,152,0.454343845851025
10,7,90,0.6,154,0.361681969028193
10,7,90,0.6,156,0.345422276251137
10,7,90,0.6,158,0.390931415886024
10,7,90,0.6,160,0.366603669244184
10,7,90,0.6,162,0.397334438492874
10,7,90,0.6,164,0.605219169134245
10,7,90,0.6,166,0.704303672835873
10,7,90,0.6,168,0.452058266278716
10,7,90,0.6,170,0.241301872931708
10,7,90,0.6,172,0.562048390786487
10,7,90,0.6,174,1.1004474381406
10,7,90,0.6,176,1.11130206829456
10,7,90,0.6,178,0.57357779266063
10,7,90,0.6,180,0.230763556206447
10,10,90,0.6,0,0.900753361261109
10,10,90,0.6,2,1.31704135138975
10,10,90,0.6,4,0.412964911580345
10,10,90,0.6,6,0.437595069082816
10,10,90,0.6,8,0.957630667455165
10,10,90,0.6,10,0.422494499840211
10,10,90,0.6,12,0.33283192017677
10,10,90,0.6,14,0.75367553826888
10,10,90,0.6,16,0.513509164933286
10,10,90,0.6,18,0.338550136875962
10,10,90,0.6,20,0.39075621807385
10,10,90,0.6,22,0.348672695696342
10,10,90,0.6,24,0.454642767599735
10,10,90,0.6,26,0.344719990642043
10,10,90,0.6,28,0.210159627406486
10,10,90,0.6,30,0.367316845355436
10,10,90,0.6,32,0.295095043668256
10,10,90,0.6,34,0.237143706792578
10,10,90,0.6,36,0.301086962183298
10,10,90,0.6,38,0.151804074622128
10,10,90,0.6,40,0.259002487357035
10,10,90,0.6,42,0.373038877008059
10,10,90,0.6,44,0.116859252418831
10,10,90,0.6,46,0.191738654244706
10,10,90,0.6,48,0.34286118432579
10,10,90,0.6,50,0.157803754850885
10,10,90,0.6,52,0.187931267864252
10,10,90,0.6,54,0.240758465915124
10,10,90,0.6,56,0.139827383452252
10,10,90,0.6,58,0.239639951634784
10,10,90,0.6,60,0.199460119695706
10,10,90,0.6,62,0.150299466026363
10,10,90,0.6,64,0.338781390115839
10,10,90,0.6,66,0.133016215056609
10,10,90,0.6,68,0.149233946956063
10,10,90,0.6,70,0.492475804734194
10,10,90,0.6,72,0.100676707799993
10,10,90,0.6,74,0.450077493725672
10,10,90,0.6,76,1.10909826396167
10,10,90,0.6,78,0.11541457445583
10,10,90,0.6,80,1.2559186447299
10,10,90,0.6,82,2.73113425268105
10,10,90,0.6,84,0.00526266655176683
10,10,90,0.6,86,12.7081009145443
10,10,90,0.6,88,53.2297889964121
10,10,90,0.6,90,78.8622295284833
10,10,90,0.6,92,53.229788996412
10,10,90,0.6,94,12.7081009145441
10,10,90,0.6,96,0.00526266655176652
10,10,90,0.6,98,2.7311342526811
10,10,90,0.6,100,1.25591864472988
10,10,90,0.6,102,0.115414574455838
10,10,90,0.6,104,1.10909826396172
10,10,90,0.6,106,0.450077493725688
10,10,90,0.6,108,0.100676707799977
10,10,90,0.6,110,0.492475804734195
10,10,90,0.6,112,0.149233946956076
10,10,90,0.6,114,0.133016215056616
10,10,90,0.6,116,0.33878139011587
10,10,90,0.6,118,0.150299466026363
10,10,90,0.6,120,0.199460119695714
10,10,90,0.6,122,0.239639951634785
10,10,90,0.6,124,0.139827383452247
10,10,90,0.6,126,0.240758465915134
10,10,90,0.6,128,0.187931267864256
10,10,90,0.6,130,0.157803754850885
10,10,90,0.6,132,0.342861184325785
10,10,90,0.6,134,0.19173865424472
10,10,90,0.6,136,0.116859252418826
10,10,90,0.6,138,0.373038877008058
10,10,90,0.6,140,0.259002487357042
10,10,90,0.6,142,0.151804074622121
10,10,90,0.6,144,0.301086962183296
10,10,90,0.6,146,0.237143706792579
10,10,90,0.6,148,0.295095043668251
10,10,90,0.6,150,0.367316845355436
10,10,90,0.6,152,0.210159627406488
10,10,90,0.6,154,0.344719990642039
10,10,90,0.6,156,0.454642767599735
10,10,90,0.6,158,0.348672695696338
10,10,90,0.6,160,0.390756218073847
10,10,90,0.6,162,0.338550136875966
10,10,90,0.6,164,0.513509164933289
10,10,90,0.6,166,0.753675538268882
10,10,90,0.6,168,0.332831920176769
10,10,90,0.6,170,0.422494499840213
10,10,90,0.6,172,0.957630667455165
10,10,90,0.6,174,0.437595069082823
10,10,90,0.6,176,0.412964911580335
10,10,90,0.6,178,1.31704135138974
10,10,90,0.6,180,0.900753361261109
